dep;jour;pop;T
81;2020-05-18;387898;460
82;2020-05-18;262618;334
83;2020-05-18;1073836;678
84;2020-05-18;560997;245
85;2020-05-18;683187;463
86;2020-05-18;437398;485
87;2020-05-18;370774;167
88;2020-05-18;359520;294
89;2020-05-18;332096;455
90;2020-05-18;140145;134
91;2020-05-18;1319401;967
92;2020-05-18;1613762;1778
93;2020-05-18;1670149;1212
94;2020-05-18;1406041;1201
95;2020-05-18;1248354;1001
971;2020-05-18;376879;73
972;2020-05-18;358749;223
973;2020-05-18;290691;15
974;2020-05-18;859959;669
975;2020-05-18;5997;1
976;2020-05-18;279471;24
977;2020-05-18;9961;0
978;2020-05-18;35334;34
01;2020-05-19;656955;645
02;2020-05-19;526050;285
03;2020-05-19;331315;177
04;2020-05-19;165197;93
05;2020-05-19;141756;116
06;2020-05-19;1079396;1326
07;2020-05-19;326875;120
08;2020-05-19;265531;98
09;2020-05-19;152398;60
10;2020-05-19;309907;252
11;2020-05-19;372705;313
12;2020-05-19;278360;347
13;2020-05-19;2034469;3311
14;2020-05-19;691453;495
15;2020-05-19;142811;53
16;2020-05-19;348180;131
17;2020-05-19;647080;361
18;2020-05-19;296404;132
19;2020-05-19;240336;228
21;2020-05-19;532886;410
22;2020-05-19;596186;1118
23;2020-05-19;116270;46
24;2020-05-19;408393;162
25;2020-05-19;539449;454
26;2020-05-19;520560;254
27;2020-05-19;600687;210
28;2020-05-19;429425;237
29;2020-05-19;906554;359
2A;2020-05-19;162421;177
2B;2020-05-19;182258;130
30;2020-05-19;748468;712
31;2020-05-19;1400935;1272
32;2020-05-19;190040;463
33;2020-05-19;1633440;883
34;2020-05-19;1176145;1316
35;2020-05-19;1082073;538
36;2020-05-19;217139;99
37;2020-05-19;605380;562
38;2020-05-19;1264979;809
39;2020-05-19;257849;189
40;2020-05-19;411979;175
41;2020-05-19;327835;154
42;2020-05-19;764737;590
43;2020-05-19;226901;78
44;2020-05-19;1437137;841
45;2020-05-19;682890;668
46;2020-05-19;173166;70
47;2020-05-19;330336;143
